Name,Name_Shp,Type,Optional
SharedStreetID,SSID,ID,0
Right_Sidewalk_Frontage_Zone,RSW_Frnt_Z,Double,1
Right_Sidewalk_Through_Zone,RSW_Thru_Z,Double,0
Right_Sidewalk_Through_Meta,RSW_Thru_Z,Text,1
Right_Sidewalk_Furniture_Zone,RSW_Furn_Z,Double,0
Right_Sidewalk_Furniture_Meta,RSW_Furn_Z,Text,0
Right_Through_Lane_1,RThru_Ln_1,Double,0
Right_Through_Lane_2,RThru_Ln_2,Double,0
Right_Through_Lane_3,RThru_Ln_3,Double,0
Right_Through_Lane_4,RThru_Ln_4,Double,0
Right_Through_Lane_X,RThru_Ln_X,Double,1
Right_Bike_Lane,RBk_Ln,Double,0
Right_Bike_Buffer,RBk_Buff,Double,0
Right_Bike_Buffer_Meta,RB_Bu_Meta,Text,1
Right_Parking_Lane,R_Prk_Ln,Double,0
Right_Parking_Lane_Meta,R_Prk_Meta,Text,1
Right_Transit_Lane,RTran_Ln,Double,0
Right_Transit_Meta,RTran_Meta,Text,1
Center_Lane,Center_Ln,Double,0
Center_Lane_Meta,Cent_Meta,Text,0
Left_Sidewalk_Frontage_Zone,LSW_Frnt_Z,Double,1
Left_Sidewalk_Through_Zone,LSW_Thru_Z,Double,0
Left_Sidewalk_Through_Meta,LSW_Thru_Z,Text,1
Left_Sidewalk_Furniture_Zone,LSW_Furn_Z,Double,0
Left_Sidewalk_Furniture_Meta,LSW_Furn_Z,Text,0
Left_Through_Lane_1,LThru_Ln_1,Double,0
Left_Through_Lane_2,LThru_Ln_2,Double,0
Left_Through_Lane_3,LThru_Ln_3,Double,0
Left_Through_Lane_4,LThru_Ln_4,Double,0
Left_Through_Lane_X,LThru_Ln_X,Double,1
Left_Bike_Lane,LBk_Ln,Double,0
Left_Bike_Buffer,LBk_Buff,Double,0
Left_Bike_Buffer_Meta,LB_Bu_Meta,Text,1
Left_Parking_Lane,L_Prk_Ln,Double,0
Left_Parking_Lane_Meta,L_Prk_Meta,Text,1
Left_Transit_Lane,RTran_Ln,Double,0
Left_Transit_Meta,RTran_Meta,Text,1
End_Crosswalk_Width,E_X_Wlk,Double,0
Begin_Crosswalk_Width,B_X_Wlk,Double,0
End_Crosswalk_Meta,E_X_W_Meta,Text,1
Begin_Crosswalk_Meta,B_X_W_Meta,Text,1
